index,map,class,id,name,enemy_levels,enemy_species,player_level,outcome,turns,faints,state,detail
1,CherrygroveCity,RIVAL1,RIVAL1_1_TOTODILE,?,5,TOTODILE,5,win,14,2,5,
2,Route30,BUG_CATCHER,DON,DON,5/5,PINECO/TRAPINCH,5,win,2,0,5,
3,Route30,YOUNGSTER,JOEY1,JOEY,6,SPINARAK,6,win,2,0,5,
4,Route30,YOUNGSTER,MIKEY,MIKEY,5/6,DRILBUR/GOLETT,6,win,19,5,5,
5,SproutTower1F,SAGE,CHOW,CHOW,6/6/6,SUNKERN/SMOOCHUM/ZUBAT,6,win,5,0,5,
6,SproutTower2F,SAGE,EDMOND,EDMOND,6/6/6,VOLTORB_HISUIAN/NOIBAT/NATU,6,loss,29,6,5,
7,SproutTower3F,SAGE,JIN,JIN,6,HOPPIP,6,win,2,0,5,
8,SproutTower3F,SAGE,NEAL,NEAL,6,RALTS,6,win,3,0,5,
9,Route31,BUG_CATCHER,WADE1,WADE,6/7,VENIPEDE/PINECO,7,win,2,0,5,
10,SproutTower2F,SAGE,NICO,NICO,6/6/7,ROOKIDEE/SUNKERN/NATU,7,win,7,0,5,
11,SproutTower3F,SAGE,TROY,TROY,7/7,SUNKERN/SMOOCHUM,7,win,4,0,5,
12,VioletGym,BIRD_KEEPER,ROD,ROD,7/7,FLETCHLING/NATU,7,win,5,0,5,
13,SproutTower3F,SAGE,LI,LI,7/8/9,HOPPIP/FLITTLE/EXEGGCUTE,9,win,6,0,5,
14,VioletGym,BIRD_KEEPER,ABE,ABE,9,ROOKIDEE,9,win,2,0,5,
15,VioletCity,CRYSTAL,CRYSTAL_1_CHIKORITA,CRYSTAL,10/10,CHIKORITA/NATU,10,win,6,1,5,
16,VioletCity,CRYSTAL,CRYSTAL_1_CYNDAQUIL,CRYSTAL,10/10,CYNDAQUIL/NATU,10,win,10,1,5,
17,VioletCity,CRYSTAL,CRYSTAL_1_TOTODILE,CRYSTAL,10/10,TOTODILE/NATU,10,win,7,1,5,
18,VioletGym,FALKNER,FALKNER1,FALKNER,8/9/10,HOOTHOOT/FLETCHLING/PIDGEOTTO,10,win,11,1,5,
19,Route32,FISHER,JUSTIN,JUSTIN,11,GOLDEEN,11,win,5,1,5,
20,Route32,FISHER,HENRY,HENRY,11/11,CHINCHOU/REMORAID,11,loss,12,6,5,
21,Route32,YOUNGSTER,ALBERT,ALBERT,11/11,GRUBBIN/AIPOM,11,win,17,3,5,
22,Route32,BIRD_KEEPER,PETER,PETER,12/12,SPEAROW/HOOTHOOT,12,win,7,1,5,
23,Route32,FISHER,RALPH1,RALPH,12,MARILL,12,win,4,1,5,
24,UnionCave1F,FIREBREATHER,RAY,RAY,12,VULPIX,12,win,5,0,5,
25,UnionCave1F,HIKER,RUSSELL,RUSSELL,11/12,NUMEL/WOOPER,12,loss,20,6,5,
26,Route32,CAMPER,ROLAND,ROLAND,13,KOTORA,13,win,17,3,5,
27,Route32,PICNICKER,LIZ1,LIZ,13,RATTATA_ALOLAN,13,win,4,1,5,
28,SlowpokeWellB1F,GRUNTF,GRUNTF_15,GRUNT,13/13,MAREANIE/WEEDLE,13,win,9,1,5,
29,UnionCave1F,POKEMANIAC,LARRY,LARRY,13,WOOPER_PALDEAN,13,win,7,2,5,
30,Route32,YOUNGSTER,GORDON,GORDON,14,NUMEL,14,win,5,2,5,
31,UnionCave1F,FIREBREATHER,BILL,BILL,14,SLUGMA,14,win,4,0,5,
32,UnionCave1F,HIKER,DANIEL,DANIEL,14,WOOPER_PALDEAN,14,win,8,2,5,
33,UnionCaveB1F,HIKER,PHILLIP,PHILLIP,13/13/14,GLIGAR/PHANPY/GEODUDE,14,loss,27,6,5,
34,AzaleaGym,BUG_CATCHER,BUG_CATCHER_BENNY,BENNY,12/15,TRAPINCH/PINECO,15,win,11,3,5,
35,AzaleaGym,BUG_CATCHER,AL,AL,12/15,SIZZLIPEDE/JOLTIK,15,win,20,1,5,
36,AzaleaGym,BUG_CATCHER,JOSH,JOSH,15,LEDYBA,15,win,6,1,5,
37,AzaleaGym,TWINS,AMYANDMAY1,AMY & MAY,15/15,PINECO/SPINARAK,15,win,12,1,5,
38,AzaleaGym,TWINS,AMYANDMAY2,AMY & MAY,15/15,PARAS/PINECO,15,win,10,1,5,
39,Route33,HIKER,ANTHONY2,ANTHONY,15/15,PHANPY/SWINUB,15,win,6,2,5,
40,SlowpokeWellB1F,GRUNTF,GRUNTF_1,GRUNT,13/15,ZUBAT/EKANS,15,win,24,4,5,
41,SlowpokeWellB1F,GRUNTM,GRUNTM_2,GRUNT,15/15/15,GASTLY/GRIMER_ALOLAN/CROAGUNK,15,win,13,3,5,
42,SlowpokeWellB1F,PROTON,PROTON1,PROTON,12/13/15,CROAGUNK/SPINARAK/SALANDIT,15,win,25,4,5,
43,UnionCaveB1F,HIKER,LEONARD,LEONARD,13/15,GEODUDE_ALOLAN/PHANPY,15,win,6,2,5,
