map,line,kind,class,id,event,name,levels,species
AzaleaGym,24,loadtrainer,BUGSY,BUGSY1,EVENT_BEAT_BUGSY,BUGSY,14/15/16,SIZZLIPEDE/JOLTIK/SCYTHER
AzaleaGym,62,loadtrainer,BUGSY_REMATCH,BUGSY2,EVENT_BEAT_BUGSY_REMATCH,BUGSY,90/90/91/91/92/92,FORRETRESS/VIKAVOLT/HERACROSS/GOLISOPOD/VOLCARONA/SCIZOR
AzaleaGym,87,trainer,TWINS,AMYANDMAY1,EVENT_BEAT_TWINS_AMY_AND_MAY,AMY & MAY,15/15,PINECO/SPINARAK
AzaleaGym,98,trainer,TWINS,AMYANDMAY2,EVENT_BEAT_TWINS_AMY_AND_MAY,AMY & MAY,15/15,PARAS/PINECO
AzaleaGym,109,trainer,BUG_CATCHER,BUG_CATCHER_BENNY,EVENT_BEAT_BUG_CATCHER_BENNY,BENNY,12/15,TRAPINCH/PINECO
AzaleaGym,120,trainer,BUG_CATCHER,AL,EVENT_BEAT_BUG_CATCHER_AL,AL,12/15,SIZZLIPEDE/JOLTIK
AzaleaGym,131,trainer,BUG_CATCHER,JOSH,EVENT_BEAT_BUG_CATCHER_JOSH,JOSH,15,LEDYBA
AzaleaTown,73,loadtrainer,RIVAL1,RIVAL1_2_TOTODILE,,?,13/14/16,GLIGAR/MAGNEMITE/CROCONAW
AzaleaTown,82,loadtrainer,RIVAL1,RIVAL1_2_CHIKORITA,,?,13/14/16,GLIGAR/MAGNEMITE/BAYLEEF
AzaleaTown,91,loadtrainer,RIVAL1,RIVAL1_2_CYNDAQUIL,,?,13/14/16,GLIGAR/MAGNEMITE/QUILAVA
BlackthornGym1F,40,loadtrainer,CLAIR,CLAIR1,EVENT_BEAT_CLAIR,CLAIR,42/43/43/44/44/45,DRAGONAIR/NOIVERN/FLYGON/HAXORUS/HYDREIGON/KINGDRA
BlackthornGym1F,97,loadtrainer,CLAIR_REMATCH,CLAIR2,EVENT_BEAT_CLAIR_REMATCH,CLAIR,93/93/94/94/95/95,ALTARIA/NOIVERN/ARCHALUDON/HAXORUS/SALAMENCE/KINGDRA
