dex,species,slot_index,exported
1,bulbasaur,0,1
2,ivysaur,1,1
3,venusaur,2,1
4,charmander,3,1
5,charmeleon,4,1
6,charizard,5,1
7,squirtle,6,1
8,wartortle,7,1
9,blastoise,8,1
10,caterpie,9,1
11,metapod,10,1
12,butterfree,11,1
13,weedle,12,1
14,kakuna,13,1
15,beedrill,14,1
16,pidgey,15,1
17,pidgeotto,16,1
18,pidgeot,17,1
19,rattata,18,1
20,raticate,19,1
21,spearow,20,1
22,fearow,21,1
23,ekans,22,1
24,arbok,23,1
25,pikachu,24,1
26,raichu,25,1
27,sandshrew,26,1
28,sandslash,27,1
29,nidoran_f,28,1
30,nidorina,29,1
31,nidoqueen,30,1
32,nidoran_m,31,1
33,nidorino,32,1
34,nidoking,33,1
35,clefairy,34,1
36,clefable,35,1
37,vulpix,36,1
38,ninetales,37,1
39,jigglypuff,38,1
40,wigglytuff,39,1
41,zubat,40,1
42,golbat,41,1
43,oddish,42,1
44,gloom,43,1
45,vileplume,44,1
46,paras,45,1
47,parasect,46,1
48,venonat,47,1
49,venomoth,48,1
50,diglett,49,1
51,dugtrio,50,1
52,meowth,51,1
53,persian,52,1
54,psyduck,53,1
55,golduck,54,1
56,mankey,55,1
57,primeape,56,1
58,growlithe,57,1
59,arcanine,58,1
60,poliwag,59,1
61,poliwhirl,60,1
62,poliwrath,61,1
63,abra,62,1
64,kadabra,63,1
65,alakazam,64,1
66,machop,65,1
67,machoke,66,1
68,machamp,67,1
69,bellsprout,68,1
70,weepinbell,69,1
71,victreebel,70,1
72,tentacool,71,1
73,tentacruel,72,1
74,geodude,73,1
75,graveler,74,1
76,golem,75,1
77,ponyta,76,1
78,rapidash,77,1
79,slowpoke,78,1
80,slowbro,79,1
81,magnemite,80,1
82,magneton,81,1
83,farfetchd,82,1
84,doduo,83,1
85,dodrio,84,1
86,seel,85,1
87,dewgong,86,1
88,grimer,87,1
89,muk,88,1
90,shellder,89,1
91,cloyster,90,1
92,gastly,91,1
93,haunter,92,1
94,gengar,93,1
95,onix,94,1
96,drowzee,95,1
97,hypno,96,1
98,krabby,97,1
99,kingler,98,1
100,voltorb,99,1
101,electrode,100,1
102,exeggcute,101,1
103,exeggutor,102,1
104,cubone,103,1
105,marowak,104,1
106,hitmonlee,105,1
107,hitmonchan,106,1
108,lickitung,107,1
109,koffing,108,1
110,weezing,109,1
111,rhyhorn,110,1
112,rhydon,111,1
113,chansey,112,1
114,tangela,113,1
115,kangaskhan,114,1
116,horsea,115,1
117,seadra,116,1
118,goldeen,117,1
119,seaking,118,1
120,staryu,119,1
121,starmie,120,1
122,mr_mime,121,1
123,scyther,122,1
124,jynx,123,1
125,electabuzz,124,1
126,magmar,125,1
127,pinsir,126,1
128,tauros,127,1
129,magikarp,128,1
130,gyarados,129,1
131,lapras,130,1
132,ditto,131,1
133,eevee,132,1
134,vaporeon,133,1
135,jolteon,134,1
136,flareon,135,1
137,porygon,136,1
138,omanyte,137,1
139,omastar,138,1
140,kabuto,139,1
141,kabutops,140,1
142,aerodactyl,141,1
143,snorlax,142,1
144,articuno,143,1
145,zapdos,144,1
146,moltres,145,1
147,dratini,146,1
148,dragonair,147,1
149,dragonite,148,1
150,mewtwo,149,1
151,mew,150,1
152,chikorita,151,1
153,bayleef,152,1
154,meganium,153,1
155,cyndaquil,154,1
156,quilava,155,1
157,typhlosion,156,1
158,totodile,157,1
159,croconaw,158,1
160,feraligatr,159,1
161,sentret,160,1
162,furret,161,1
163,hoothoot,162,1
164,noctowl,163,1
165,ledyba,164,1
166,ledian,165,1
167,spinarak,166,1
168,ariados,167,1
169,crobat,168,1
170,chinchou,169,1
171,lanturn,170,1
172,pichu,171,1
173,cleffa,172,1
174,igglybuff,173,1
175,togepi,174,1
176,togetic,175,1
177,natu,176,1
178,xatu,177,1
179,mareep,178,1
180,flaaffy,179,1
181,ampharos,180,1
182,bellossom,181,1
183,marill,182,1
184,azumarill,183,1
185,sudowoodo,184,1
186,politoed,185,1
187,hoppip,186,1
188,skiploom,187,1
189,jumpluff,188,1
190,aipom,189,1
191,sunkern,190,1
192,sunflora,191,1
193,yanma,192,1
194,wooper,193,1
195,quagsire,194,1
196,espeon,195,1
197,umbreon,196,1
198,murkrow,197,1
199,slowking,198,1
200,misdreavus,199,1
201,unown,200,1
202,wobbuffet,201,1
203,girafarig,202,1
204,pineco,203,1
205,forretress,204,1
206,dunsparce,205,1
207,gligar,206,1
208,steelix,207,1
209,snubbull,208,1
210,granbull,209,1
211,qwilfish,210,1
212,scizor,211,1
213,shuckle,212,1
214,heracross,213,1
215,sneasel,214,1
216,teddiursa,215,1
217,ursaring,216,1
218,slugma,217,1
219,magcargo,218,1
220,swinub,219,1
221,piloswine,220,1
222,corsola,221,1
223,remoraid,222,1
224,octillery,223,1
225,delibird,224,1
226,mantine,225,1
227,skarmory,226,1
228,houndour,227,1
229,houndoom,228,1
230,kingdra,229,1
231,phanpy,230,1
232,donphan,231,1
233,porygon2,232,1
234,stantler,233,1
235,smeargle,234,1
236,tyrogue,235,1
237,hitmontop,236,1
238,smoochum,237,1
239,elekid,238,1
240,magby,239,1
241,miltank,240,1
242,blissey,241,1
243,raikou,242,1
244,entei,243,1
245,suicune,244,1
246,larvitar,245,1
247,pupitar,246,1
248,tyranitar,247,1
249,lugia,248,1
250,ho_oh,249,1
251,celebi,250,1
252,treecko,288,1
253,grovyle,289,1
254,sceptile,290,1
255,torchic,291,1
256,combusken,292,1
257,blaziken,293,1
258,mudkip,294,1
259,marshtomp,295,1
260,swampert,296,1
261,poochyena,297,1
262,mightyena,298,1
263,zigzagoon,299,1
264,linoone,300,1
265,wurmple,301,1
266,silcoon,302,1
267,beautifly,303,1
268,cascoon,304,1
269,dustox,305,1
270,lotad,306,1
271,lombre,307,1
272,ludicolo,308,1
273,seedot,309,1
274,nuzleaf,310,1
275,shiftry,311,1
276,taillow,312,1
277,swellow,313,1
278,wingull,314,1
279,pelipper,315,1
280,ralts,316,1
281,kirlia,317,1
282,gardevoir,318,1
283,surskit,319,1
284,masquerain,320,1
285,shroomish,321,1
286,breloom,322,1
287,slakoth,323,1
288,vigoroth,324,1
289,slaking,325,1
290,nincada,326,1
291,ninjask,327,1
292,shedinja,328,1
293,whismur,329,1
294,loudred,330,1
295,exploud,331,1
296,makuhita,332,1
297,hariyama,333,1
298,azurill,334,1
299,nosepass,335,1
300,skitty,336,1
301,delcatty,337,1
302,sableye,338,1
303,mawile,339,1
304,aron,340,1
305,lairon,341,1
306,aggron,342,1
307,meditite,343,1
308,medicham,344,1
309,electrike,345,1
310,manectric,346,1
311,plusle,347,1
312,minun,348,1
313,volbeat,349,1
314,illumise,350,1
315,roselia,351,1
316,gulpin,352,1
317,swalot,353,1
318,carvanha,354,1
319,sharpedo,355,1
320,wailmer,356,1
321,wailord,357,1
322,numel,358,1
323,camerupt,359,1
324,torkoal,360,1
325,spoink,361,1
326,grumpig,362,1
327,spinda,363,1
328,trapinch,364,1
329,vibrava,365,1
330,flygon,366,1
331,cacnea,367,1
332,cacturne,368,1
333,swablu,369,1
334,altaria,370,1
335,zangoose,371,1
336,seviper,372,1
337,lunatone,373,1
338,solrock,374,1
339,barboach,375,1
340,whiscash,376,1
341,corphish,377,1
342,crawdaunt,378,1
343,baltoy,379,1
344,claydol,380,1
345,lileep,381,1
346,cradily,382,1
347,anorith,383,1
348,armaldo,384,1
349,feebas,385,1
350,milotic,386,1
351,castform,387,1
352,kecleon,391,1
353,shuppet,392,1
354,banette,393,1
355,duskull,394,1
356,dusclops,395,1
357,tropius,396,1
358,chimecho,397,1
359,absol,398,1
360,wynaut,399,1
361,snorunt,400,1
362,glalie,401,1
363,spheal,402,1
364,sealeo,403,1
365,walrein,404,1
366,clamperl,405,1
367,huntail,406,1
368,gorebyss,407,1
369,relicanth,408,1
370,luvdisc,409,1
371,bagon,410,1
372,shelgon,411,1
373,salamence,412,1
374,beldum,413,1
375,metang,414,1
376,metagross,415,1
377,regirock,416,1
378,regice,417,1
379,registeel,418,1
380,latias,419,1
381,latios,420,1
382,kyogre,421,1
383,groudon,422,1
384,rayquaza,423,1
385,jirachi,424,1
386,deoxys,425,1
