sequence_index,sheet_slot,species,has_second_frame
0,0,rowlet,1
1,1,dartrix,1
2,2,decidueye,1
3,3,litten,1
4,4,torracat,1
5,5,incineroar,1
6,6,popplio,1
7,7,brionne,1
8,8,primarina,1
9,9,pikipek,1
10,10,trumbeak,1
11,11,toucannon,1
12,12,yungoos,1
13,13,gumshoos,1
14,14,grubbin,1
15,15,charjabug,1
16,16,vikavolt,1
17,17,crabrawler,1
18,18,crabominable,1
19,19,oricorio,1
20,20,cutiefly,1
21,21,ribombee,1
22,22,rockruff,1
23,23,lycanroc,1
24,24,wishiwashi,1
25,25,mareanie,1
26,26,toxapex,1
27,27,mudbray,1
28,28,mudsdale,1
29,29,dewpider,1
30,30,araquanid,1
31,31,fomantis,1
32,32,lurantis,1
33,33,morelull,1
34,34,shiinotic,1
35,35,salandit,1
36,36,salazzle,1
37,37,stufful,1
38,38,bewear,1
39,39,bounsweet,1
40,40,steenee,1
41,41,tsareena,1
42,42,comfey,1
43,43,oranguru,1
44,44,passimian,1
45,45,wimpod,1
46,46,golisopod,1
47,47,sandygast,1
48,48,palossand,1
49,49,pyukumuku,1
50,50,type_null,1
51,51,silvally,1
52,52,minior,1
53,53,komala,1
54,54,turtonator,1
55,55,togedemaru,1
56,56,mimikyu,1
57,57,bruxish,1
58,58,drampa,1
59,59,dhelmise,0
60,60,jangmo_o,0
61,61,hakamo_o,0
62,62,kommo_o,0
63,63,tapu_koko,1
64,64,tapu_lele,1
65,65,tapu_bulu,1
66,66,tapu_fini,1
67,67,cosmog,1
68,68,cosmoem,1
69,69,solgaleo,1
70,70,lunala,1
71,71,nihilego,1
72,72,buzzwole,1
73,73,pheromosa,1
74,74,xurkitree,1
75,75,celesteela,1
76,76,kartana,1
77,77,guzzlord,1
78,78,necrozma,1
79,79,magearna,1
80,80,marshadow,1
81,81,poipole,1
82,82,naganadel,1
83,83,stakataka,0
84,84,blacephalon,1
85,85,zeraora,1
86,86,meltan,1
87,87,melmetal,1
88,88,gen7_extra_01,1
89,89,gen7_extra_02,1
90,90,gen7_extra_03,1
91,91,gen7_extra_04,1
92,92,gen7_extra_05,1
93,93,gen7_extra_06,1
94,94,gen7_extra_07,1
95,95,gen7_extra_08,1
96,96,gen7_extra_09,1
97,97,gen7_extra_10,1
98,98,gen7_extra_11,1
99,99,gen7_extra_12,1
100,100,gen7_extra_13,1
101,101,gen7_extra_14,1
102,108,gen7_extra_15,1
103,109,gen7_extra_16,1
104,110,gen7_extra_17,1
105,111,gen7_extra_18,1
106,112,gen7_extra_19,1
107,113,gen7_extra_20,1
108,114,gen7_extra_21,1
109,115,gen7_extra_22,1
110,116,gen7_extra_23,1
111,117,gen7_extra_24,1
112,118,gen7_extra_25,1
113,119,gen7_extra_26,0
114,120,gen7_extra_27,1
115,121,gen7_extra_28,1
116,122,gen7_extra_29,1
117,123,gen7_extra_30,0
118,124,gen7_extra_31,1
119,125,gen7_extra_32,1
120,126,gen7_extra_33,1
121,127,gen7_extra_34,1
122,128,gen7_extra_35,1
123,129,gen7_extra_36,1
124,130,gen7_extra_37,1
125,131,gen7_extra_38,1
